galaxy,rmse_kms,v_flat_kms,g_bar_max_over_a0,n_points,bulge_fraction,gas_fraction,log_sb_central,mond_fraction,profile_shape,inner_slope
CamB,14.4808,20.1,0.0513,9,0.0,0.3479502750465622,1.3760474520414663,1.0,0.0,0.3422885572122274
D564-8,6.5613,25.0,0.0173,6,0.0,0.6131205844595075,0.45040308615536623,1.0,0.0,0.5343999999978624
D631-7,8.887,57.3,0.0981,16,0.0,0.8122720639399429,1.2931635956416592,1.0,-0.020512820512785496,0.3924956369975698
DDO064,2.7305,46.9,0.0742,14,0.0,0.7152987807929672,1.4355417827721806,1.0,0.0,0.25820895522333004
DDO154,3.2852,45.5,0.0491,12,0.0,0.9234370155391775,0.7420177471401382,1.0,-0.05601659751025728,0.45054945054846024
DDO161,15.5981,66.1,0.0877,31,0.0,0.8952115980457163,1.442338639625676,1.0,-0.020740740740710098,0.06051437216329726
DDO168,5.9796,52.0,0.1329,10,0.0,0.7833807951866114,1.1640850574588588,1.0,-0.05454545454535537,0.4076923076915237
DDO170,12.1014,62.2,0.0345,8,0.0,0.8469981703245792,0.5540043210119029,1.0,0.0,0.4485530546616583
ESO079-G014,18.5531,178.0,0.3149,15,0.0,0.12566262152575478,2.454083797246797,1.0,0.0,0.19325842696618353
ESO116-G012,14.0372,112.0,0.2795,15,0.0,0.44627091876911135,2.2278635758893106,1.0,0.0,0.4196428571424825
ESO444-G084,12.1483,62.7,0.0844,7,0.0,0.855882222450745,1.0187420957623818,1.0,-0.006339144215520834,0.5502392344488831
ESO563-G021,65.3057,312.0,1.4432,30,0.0,0.1193866259643783,2.9989917015219905,0.9,-0.02803738317756136,0.3208333333332305
F561-1,28.7199,50.4,0.0726,6,0.0,0.3894785297265683,1.2920566046214685,1.0,0.0,0.5119047619037463
F563-1,20.6886,106.0,0.0476,17,0.0,0.7910967645966727,1.3102896237960995,1.0,-0.05777777777772642,0.5160377358485697
F563-V1,27.4854,27.3,0.0316,6,0.0,0.5766918949416276,0.9689963266483123,1.0,-0.07457627118618786,0.641025641023293
F563-V2,26.8528,118.0,0.0888,10,0.0,0.6767733703664509,1.779892172536556,1.0,0.0,0.5898305084740764
F565-V2,8.677,83.1,0.0292,7,0.0,0.7775862548047614,0.755188585608325,1.0,0.0,0.5631768953061815
F567-2,17.227,52.2,0.0324,5,0.0,0.5178577820987428,1.0212306584797024,1.0,0.0,0.4061302681984557
F568-1,33.7613,142.0,0.0765,12,0.0,0.5614685513739909,1.762235792770701,1.0,0.0,0.5232394366193499
F568-3,9.1058,120.0,0.0677,18,0.0,0.480264430953418,1.749048008689412,1.0,0.0,0.2124999999998229
F568-V1,28.9833,118.0,0.0936,15,0.0,0.48173143875414204,1.7838392875020568,1.0,0.0,0.5745762711859539
F571-8,26.9872,144.0,1.2631,13,0.0,0.05382613534522187,2.848485321837679,0.8461538461538461,0.0,0.39374999999972654
F571-V1,4.0538,83.9,0.0594,7,0.0,0.6962262123656501,1.0322560258904532,1.0,-0.004744958481607556,0.5363528009528767
F574-1,11.401,99.7,0.1028,14,0.0,0.3554260423464677,1.839924054287075,1.0,0.0,0.5977933801398218
F574-2,36.1148,40.0,0.0359,5,0.0,0.5461000092146172,0.9930392318069095,1.0,0.0,0.5849999999985375
F579-V1,22.1207,114.0,0.1487,14,0.0,0.240446236814033,2.0235034957240714,1.0,0.0,0.5429824561398745
F583-1,10.8306,85.8,0.0324,25,0.0,0.731015347210973,1.501620605079214,1.0,-0.012658227848086796,0.032634032633994586
F583-4,2.9354,69.9,0.0752,12,0.0,0.20334297415847918,1.7786648616937684,1.0,0.0,0.4577968526459831
IC2574,11.5837,67.5,0.0279,34,0.0,0.6255495148060732,1.1737979303704602,1.0,0.0,0.12296296296278081
IC4202,34.7275,247.0,4.4346,32,0.21159176369429392,0.11620031804857585,2.508382909358567,0.71875,-0.0119999999999952,0.4894736842103282
KK98-251,9.4777,34.2,0.0479,15,0.0,0.8062043222137534,0.8420472885096381,1.0,-0.011560693641585042,0.23538011695837607
NGC0024,26.3025,110.0,0.3613,29,0.0,0.1859966634540465,2.487747657731503,1.0,0.0,0.25999999999976364
NGC0055,12.545,86.5,0.1281,21,0.0,0.576958800514823,1.5800235351693668,1.0,-0.010297482837516886,0.24739884393034986
NGC0100,5.7678,91.2,0.1435,21,0.0,0.28197605842482765,2.0581640020799745,1.0,0.0,0.39353070175395444
NGC0247,4.1502,107.0,0.0781,26,0.0,0.4756390250686326,1.7350476986005372,1.0,-0.009259259259250686,0.27850467289693603
NGC0289,19.4461,165.0,2.8648,28,0.0,0.5806689098949496,2.8354502165141615,0.8214285714285714,-0.14948453608239717,0.12727272727265015
NGC0300,8.754,93.5,0.1462,25,0.0,0.4522345698662421,1.8276987465369434,1.0,-0.03608247422676693,0.2748663101601338
NGC0801,26.3905,216.0,3.8623,13,0.0,0.19123916669571372,3.362488318083799,0.6153846153846154,-0.09243697478987713,0.48611111111088606
NGC0891,22.749,208.0,15.388,18,0.15114321591841673,0.0847707130003229,3.294585475430252,0.5,-0.11111111111106363,-0.05288461538458996
NGC1003,4.8761,115.0,0.3487,36,0.0,0.5925111261546201,2.031856667195871,1.0,0.0,0.2660869565215077
NGC1090,12.0277,160.0,1.2068,24,0.0,0.24936447722388178,2.8876797397427145,0.9166666666666666,-0.09090909090903926,0.6443749999995972
NGC1705,19.8976,71.5,0.711,14,0.0,0.4634393539721423,1.9245428848415025,1.0,-0.023224043715815306,0.32167832167787175
NGC2366,9.0556,49.4,0.0753,26,0.0,0.8646682410202414,1.674135179902457,1.0,-0.0800744878955679,0.28744939271196873
NGC2403,12.9926,134.0,0.9758,73,0.0,0.5437133813476848,3.0027537980008527,1.0,-0.014705882352930365,0.20522388059686178
NGC2683,17.3298,151.0,2.4528,11,0.08542071936016137,0.045517068863368905,2.1752537112568335,0.8181818181818182,-0.28773584905646804,0.07284768211915706
NGC2841,75.3398,294.0,4.1656,50,0.2134910946556829,0.2979909268254083,2.7305085354559706,0.52,-0.08978328173371834,0.07142857142854714
NGC2903,26.4618,180.0,16.3766,34,0.0,0.10006945429419671,3.477422405888084,0.5588235294117647,-0.16666666666658952,0.5777777777774569
NGC2915,22.0904,86.5,0.8029,30,0.0,0.6786170923386438,1.9593801053481887,1.0,0.0,0.4277456647393899
NGC2955,15.6769,227.0,7.1604,24,0.25770782753865856,0.13198737507211192,3.069265059280654,0.3333333333333333,-0.17753623188399364,0.3832599118941043
NGC2976,4.6623,85.3,0.6354,27,0.0,0.20001931397986975,2.585518255616796,1.0,-0.03833145434043035,0.15240328253206048
NGC2998,34.0302,203.0,1.4301,13,0.0,0.27179525335304183,3.0757078760034875,0.6923076923076923,-0.05140186915885449,0.4433497536943629
NGC3109,6.1839,67.3,0.0334,25,0.0,0.7875422551466541,0.9430491110084068,1.0,0.0,0.19316493313492847
NGC3198,10.709,149.0,1.6758,43,0.0,0.39197891700105214,2.7712721171139942,0.9534883720930233,-0.0509554140127064,0.22885906040253098
NGC3521,19.0229,206.0,10.045,41,0.0,0.03765942296369252,3.6398281127523378,0.12195121951219512,-0.06363636363633471,0.21844660194164153
NGC3726,12.4491,167.0,0.7311,12,0.0,0.2328507016761822,2.301964893281718,1.0,-0.011834319526620217,0.37125748502971784
NGC3741,3.0216,51.6,0.0853,21,0.0,0.9434363530385227,0.9983029400985411,1.0,0.0,0.253875968991756
NGC3769,8.8259,113.0,1.248,12,0.0,0.4231424252419364,2.025924089810885,0.9166666666666666,-0.10317460317452129,0.3318584070793523
NGC3877,18.6901,169.0,1.5974,13,0.0,0.043291138562982695,2.674917145505861,0.8461538461538461,-0.011695906432741699,0.6165680473369133
NGC3893,19.0493,167.0,3.1947,10,0.0,0.19076596645730487,2.515928127129274,0.7,-0.13917525773188702,0.26946107784415
NGC3917,11.5312,137.0,0.2469,17,0.0,0.17928163879278053,2.180587462088896,1.0,-0.007246376811588953,0.5598540145981316
NGC3949,10.9023,169.0,1.9838,7,0.0,0.13025455521659807,2.73142033262819,0.42857142857142855,0.0,0.2011834319525437
NGC3953,23.3613,215.0,1.5942,8,0.0,0.049570080597171745,2.540781056380545,0.625,-0.040178571428553495,0.19534883720921148
NGC3972,14.0107,134.0,0.3575,10,0.0,0.15651550255915272,2.1936281992144284,1.0,0.0,0.4656716417906973
NGC3992,37.3861,237.0,0.6932,9,0.0,0.13682638377491851,2.0914594313046284,1.0,-0.12867647058818799,0.09704641350206876
NGC4010,8.0356,122.0,0.3728,12,0.0,0.2115746526941563,2.349959038828965,1.0,-0.05426356589143081,0.3655737704915037
NGC4013,8.0052,170.0,1.2506,36,0.22149670159908608,0.1021628947958589,2.3246342765287427,0.9166666666666666,-0.14141414141407,-0.01764705882351903
NGC4051,11.0377,153.0,2.1982,7,0.0,0.08129154926921904,2.4206174194247683,0.8571428571428571,-0.04968944099375796,0.2549019607841471
NGC4068,9.4159,41.9,0.0819,6,0.0,0.5604637434062449,1.548892834136418,1.0,0.0,0.6138424820987736
NGC4085,14.1187,136.0,1.3833,7,0.0,0.058149033152065634,2.662409312172287,0.5714285714285714,0.0,0.6235294117642475
NGC4088,21.5773,174.0,1.4982,12,0.0,0.16406243961982972,2.8148672886218185,0.6666666666666666,-0.043956043956019805,0.5408045977008387
NGC4100,22.2361,159.0,0.8657,24,0.0,0.15396605817278217,2.5272315075298253,1.0,-0.18461538461528995,0.38993710691799377
NGC4138,17.1018,150.0,3.0141,7,0.22315588959531332,0.08029366094842647,1.7695324035574875,0.7142857142857143,-0.23076923076911243,-0.11333333333325779
NGC4157,7.0854,185.0,1.9589,17,0.02032651276854649,0.19699170758625434,2.8184047227551563,0.7058823529411765,-0.07960199004971165,0.5654054054050998
NGC4183,8.3057,113.0,0.238,23,0.0,0.4780097342072532,1.9795984477010002,1.0,-0.017391304347810964,0.34159292035368
NGC4214,18.9403,80.6,0.7026,14,0.0,0.25094305672983397,2.279965646854854,1.0,0.0,0.186104218362052
NGC4217,40.9385,178.0,5.2488,19,0.7836591249170215,0.05557204864294919,2.1167438547193935,0.5263157894736842,-0.06806282722509525,0.6528089887636782
NGC4389,35.5542,110.0,1.1579,6,0.0,0.04098838073152796,2.589973045896284,0.6666666666666666,0.0,0.5109090909086265
NGC4559,10.2067,119.0,0.6953,32,0.0,0.4872553608709142,2.4930688938331254,1.0,-0.040322580645128774,0.3394957983190425
NGC5005,21.0391,265.0,24.6357,18,0.1451285436550697,0.06801811972613654,3.460254339918352,0.05555555555555555,0.0,0.08679245283015594
NGC5033,22.4333,196.0,20.5753,22,0.2136705617325219,0.23664898856551866,3.0912732767673843,0.7727272727272727,-0.1288888888888316,0.0918367346938307
NGC5055,13.9802,172.0,7.5521,28,0.0,0.18620613102323924,3.3197140623794885,0.5714285714285714,-0.16504854368924027,0.3953488372090725
NGC5371,31.0872,213.0,5.3597,19,0.0,0.09218382944545529,2.8604044934641837,0.7368421052631579,-0.11983471074375214,-0.00938967136149794
NGC5585,5.7101,89.4,0.3905,24,0.0,0.5165077069319524,2.592976854518637,1.0,-0.031419284940377566,0.24049217002210238
NGC5907,24.6821,214.0,0.8516,19,0.0,0.2859989113974721,2.38772965337477,1.0,-0.08936170212762155,0.09813084112144947
NGC5985,90.1609,285.0,1.1727,33,0.05432034940137347,0.07786852094324524,2.4749021406519542,0.9696969696969697,-0.06557377049178179,0.12280701754381657
NGC6015,19.4726,152.0,0.8589,44,0.0,0.38566489219976435,2.8663174727579053,1.0,-0.08433734939753956,0.45065789473654566
NGC6195,11.556,246.0,8.1893,23,0.30801325705799387,0.10544804089034299,2.711251144900607,0.4782608695652174,-0.046511627906958716,0.27235772357712507
NGC6503,7.3944,115.0,1.3468,31,0.0,0.3383724274973317,2.7507328123367847,0.9354838709677419,-0.04958677685946315,0.35652173913012475
NGC6674,40.9695,242.0,3.0157,15,0.08034808968555467,0.22661633182865176,2.4504662012915914,0.8666666666666667,-0.16838487972502805,0.28099173553707396
NGC6946,8.3791,154.0,54.069,58,0.06603619714253749,0.12906810201159277,3.1290518356033927,0.7068965517241379,-0.14917127071814965,-0.12337662337654327
NGC7331,13.0558,238.0,6.3691,36,0.05107127189242884,0.1339222256328996,3.2292801197236467,0.6388888888888888,-0.0739299610894654,0.12184873949574714
NGC7793,8.9326,90.8,0.9037,46,0.0,0.20821689816660796,3.0024429712319747,1.0,-0.21724137931015758,0.17290748898659372
NGC7814,35.2747,214.0,35.8008,18,0.6925697776409098,0.036040362804730684,2.497456291042629,0.6111111111111112,-0.19245283018860662,-0.16355140186908246
PGC51017,20.0431,18.3,0.0849,6,0.0,0.6154588573157941,1.139595758469972,1.0,-0.10731707317020818,-0.09289617486288032
UGC00128,11.7537,125.0,0.0932,22,0.0,0.7069507071942092,1.4488762951541208,1.0,-0.0671641791044275,0.5911999999995271
UGC00191,8.373,83.85,0.1264,9,0.0,0.5768665208277424,1.8992238951088238,1.0,0.0,0.23732856290967522
UGC00731,10.8753,73.9,0.0405,12,0.0,0.9298749638433683,0.595606434865603,1.0,-0.0013513513513494484,0.36806495263820277
UGC00891,5.9156,63.75,0.0482,5,0.0,0.763820749493978,0.4815859363676222,1.0,0.0,0.5615686274500994
UGC01230,19.6899,103.0,0.1023,11,0.0,0.7596052027916663,1.6352926956511322,1.0,-0.08849557522116062,0.8271844660186144
UGC01281,2.5502,56.9,0.044,25,0.0,0.6385544938230415,1.358144324512175,1.0,0.0,0.16854130052694458
UGC02023,11.2447,58.8,0.0997,5,0.0,0.3622900099496357,1.546431608077343,1.0,0.0,0.557823129250752
UGC02259,16.8406,90.0,0.0937,8,0.0,0.530920739518529,1.488423793723904,1.0,0.0,0.296666666666337
UGC02455,33.7357,61.0,0.5686,8,0.0,0.2636071700762524,2.441366738286047,1.0,0.0,0.26393442622907554
UGC02487,86.3759,333.0,1.6947,17,0.23620854752565618,0.10340312553185722,2.4639989379452887,0.7647058823529411,-0.1305483028720286,-0.030030030030021013
UGC02885,31.0646,298.0,8.4651,19,0.09981143458453426,0.301327933245881,2.818081324734461,0.8421052631578947,-0.022950819672123625,-0.11409395973150534
UGC02916,22.1065,181.0,9.359,43,0.5897597153672668,0.15620089755383376,2.302398037800922,0.4186046511627907,-0.169724770642124,0.15469613259659962
UGC02953,44.59,272.0,30.5843,115,0.13614026656501266,0.048496582627807754,3.4470558050034783,0.33043478260869563,-0.14733542319744597,0.0
UGC03205,37.3574,220.0,7.2128,48,0.15911265123150878,0.12355915750471137,2.7805052496786202,0.5,-0.07172995780587692,0.227272727272624
UGC03546,27.4387,193.0,46.5499,30,0.2936643678572663,0.06236820299941852,3.2632314064043983,0.43333333333333335,-0.2633587786258537,-0.1450777202071787
UGC03580,18.1265,124.0,4.906,47,0.1995553020498945,0.3243891978616973,2.777804400152778,0.5957446808510638,-0.053435114503776006,0.12419354838699655
UGC04278,9.2283,92.8,0.0895,25,0.0,0.5543972303114729,1.8253676885708963,1.0,0.0,0.2895474137927915
UGC04305,23.6435,33.0,0.1036,22,0.0,0.6191640500903105,1.7689413356288175,1.0,-0.11528150134017344,0.5918181818163885
UGC04325,20.4209,91.5,0.144,8,0.0,0.42959981132660674,1.786048318113716,1.0,-0.012944983818756292,0.5180327868846798
UGC04483,4.1623,24.2,0.0686,8,0.0,0.8397451150044657,1.290279528920517,1.0,-0.004115226337431683,0.6483471074353375
UGC04499,5.6849,74.3,0.1306,9,0.0,0.6245901190386421,1.4075778403309063,1.0,0.0,0.484522207267181
UGC05005,12.0904,99.1,0.0639,11,0.0,0.7722378136510252,1.436814394889434,1.0,-0.008999999999991057,0.4399596367301313
UGC05253,22.1547,218.0,36.6759,73,0.522407749278587,0.047311621763992666,2.8850506563199705,0.2465753424657534,-0.1209677419354351,0.013761467889901945
UGC05414,5.1571,61.4,0.1073,6,0.0,0.4674356798077998,1.5241493675583613,1.0,0.0,0.5097719869698537
UGC05716,5.3499,74.7,0.0645,12,0.0,0.8685551571895562,1.0128793871712898,1.0,0.0,0.2704149933061976
UGC05721,20.1139,79.5,0.5283,23,0.0,0.7115394617637993,2.4899739394710196,1.0,-0.037530266343780164,0.490566037735232
UGC05750,13.2625,78.9,0.0382,11,0.0,0.535837002352662,1.323272731248478,1.0,0.0,0.4169835234468732
UGC05764,9.7581,49.9,0.0501,10,0.0,0.8664461617286218,1.058084224750925,1.0,-0.10573476702490009,0.539078156311545
UGC05829,6.2331,68.6,0.0572,11,0.0,0.8394971811201889,1.1300441422876044,1.0,0.0,0.3498542274047378
UGC05918,3.5993,44.5,0.0269,8,0.0,0.5817043239395986,0.9675947726718896,1.0,0.0,0.4382022471900265
UGC05986,20.5932,107.0,0.2378,15,0.0,0.31093366896658337,2.0862565844689738,1.0,-0.07758620689648484,0.5121495327098017
UGC05999,8.9728,100.0,0.0713,5,0.0,0.797092854540544,0.7672300981107183,1.0,0.0,0.514999999999485
UGC06399,6.998,87.6,0.0869,9,0.0,0.3971127825775691,1.5789942924459242,1.0,0.0,0.5114155251135715
UGC06446,11.3405,80.1,0.1052,17,0.0,0.7991872953698438,1.5276427877567538,1.0,-0.05653710247343177,0.40699126092333704
UGC06614,14.1046,204.0,3.6363,13,0.45399256545852157,0.22679898445703223,1.7444572796833042,0.9230769230769231,-0.004878048780485426,-0.11764705882347175
UGC06628,29.6021,42.3,0.1051,7,0.0,0.4240043354981344,1.5193159855909568,1.0,0.0,0.3427895981079367
UGC06667,18.5252,85.7,0.0359,9,0.0,0.7004172532227199,0.9390697499234242,1.0,0.0,0.4982497082841327
UGC06786,45.5979,211.0,19.9705,45,0.28175502545166425,0.08649898373942463,2.703189027359343,0.4666666666666667,-0.07860262008730193,0.09478672985777499
UGC06787,42.2215,255.0,60.6618,71,0.5245508452735583,0.0633728090365343,2.7793590793934455,0.38028169014084506,-0.07608695652171156,0.5411764705880231
UGC06818,11.2666,74.4,0.1189,8,0.0,0.388255698558652,1.5612326066603395,1.0,0.0,0.3252688172038639
UGC06917,9.3195,111.0,0.2435,11,0.0,0.3704715517765409,1.7738668624394185,1.0,0.0,0.3090090090087306
UGC06923,5.0871,81.1,0.394,6,0.0,0.3847764628008709,1.7118156618618805,1.0,0.0,0.46732429099819084
UGC06930,8.0588,108.0,0.2131,10,0.0,0.5259747301402352,1.6110963673317424,1.0,-0.009174311926597088,0.4074074074070302
UGC06973,37.1815,180.0,10.3828,9,0.16156380661696973,0.05464329667015556,2.558049430615375,0.4444444444444444,0.0,0.0
UGC06983,12.6847,109.0,0.2547,17,0.0,0.6297122381051369,1.6704406850941393,1.0,-0.035398230088464246,0.3357798165134534
UGC07089,10.9836,79.1,0.107,12,0.0,0.36925292082694333,1.7512097961423723,1.0,0.0,0.38305941845716435
UGC07125,27.2453,64.9,0.0887,13,0.0,0.7716306701011387,1.307089365048616,1.0,-0.010670731707300634,0.4067796610163223
UGC07151,4.3719,76.2,0.1973,11,0.0,0.38470940340404713,2.0050560426927757,1.0,0.0,0.5209973753274003
UGC07261,5.6413,76.1,0.1866,7,0.0,0.506698581247125,1.6670885530709345,1.0,0.0,0.29960578186557213
UGC07323,4.8369,85.6,0.1427,10,0.0,0.2785653146343541,1.9845768155929504,1.0,0.0,0.3200934579435513
UGC07399,30.8452,106.0,0.2272,10,0.0,0.5458234355740459,1.595397006170128,1.0,0.0,0.39433962264113737
UGC07524,5.4104,79.0,0.091,31,0.0,0.5759215053286341,1.633983243813783,1.0,-0.057279236276781255,0.234177215189577
UGC07559,8.9715,32.1,0.0543,7,0.0,0.6625285031185415,1.2294514541517632,1.0,0.0,0.5230529594999281
UGC07577,12.2751,17.8,0.0303,9,0.0,0.48209068167749564,1.1297221086958777,1.0,0.0,0.28707865168378044
UGC07603,8.9805,64.0,0.1694,12,0.0,0.5144002922529988,1.8216510659621161,1.0,0.0,0.48437499999924316
UGC07608,9.2576,69.3,0.04,8,0.0,0.7950352843521461,0.9096095104901688,1.0,0.0,0.5194805194797699
UGC07690,5.4109,55.9,0.4834,7,0.0,0.4768271628248798,1.623156217322164,1.0,-0.07907742998339533,0.24150268336271646
UGC07866,6.6555,33.1,0.0472,7,0.0,0.5955760510008827,1.2433109480298226,1.0,0.0,0.41691842900176157
UGC08286,14.1622,84.3,0.0985,17,0.0,0.5775547400588773,1.7219836392635535,1.0,0.0,0.5622775800705073
UGC08490,12.2495,77.6,0.3274,30,0.0,0.6648403762890086,2.0637873103176716,1.0,-0.03121098626712708,0.3788659793809552
UGC08550,4.9797,57.5,0.1031,11,0.0,0.7575935663570326,1.5370757527751402,1.0,-0.0051903114186760925,0.4208695652166594
UGC08699,24.7997,183.0,24.1234,41,0.29588845245698936,0.10347000352232928,3.0514461992201016,0.6585365853658537,-0.0940594059405475,0.19672131147530236
UGC08837,12.4848,48.0,0.0625,8,0.0,0.5722411109801937,1.3416521119435323,1.0,0.0,0.4331249999990977
UGC09037,24.1531,152.0,1.0403,22,0.0,0.3924702806577019,2.3714391638903196,0.9545454545454546,-0.04999999999996876,0.38026315789448667
UGC09133,26.4532,229.0,25.9355,68,0.27421527987471267,0.20399853043604757,3.1151013733025237,0.5,-0.207612456747333,-0.017467248908289316
UGC09992,13.3073,34.3,0.0848,5,0.0,0.5588829689508448,1.0094933882875399,1.0,0.0,0.15451895043686723
UGC10310,6.2634,73.2,0.0817,7,0.0,0.5851293410355662,1.4407674412045057,1.0,0.0,0.4918032786878527
UGC11455,19.4609,266.0,1.429,36,0.0,0.06365806593660615,3.14407611787813,0.4166666666666667,-0.08591065292093268,0.2928571428570328
UGC11557,26.9926,84.5,0.3045,12,0.0,0.1729272150784277,2.3551468132467104,1.0,-0.00588235294116955,0.4840236686384804
UGC11820,7.6114,84.45,0.082,10,0.0,0.8724419087137043,1.8669427176301852,1.0,0.0,0.23445825932476672
UGC11914,48.0547,305.0,30.8184,65,0.36881852507206664,0.008744897132710963,3.3741855977026227,0.0,0.0,0.16393442622945445
UGC12506,50.7714,225.0,0.4435,31,0.0,0.3546156115602008,2.486006604695922,1.0,-0.11764705882348328,0.4044444444442647
UGC12632,6.4174,73.1,0.0438,15,0.0,0.6943882194812908,1.3368798155984225,1.0,-0.001366120218577485,0.414500683993961
UGC12732,6.7166,98.0,0.0606,16,0.0,0.8252560014527685,1.3918345416932862,1.0,0.0,0.3173469387751863
UGCA281,1.5193,29.5,0.1098,7,0.0,0.4068769415781816,1.9155106374084592,1.0,0.0,0.6440677966079863
UGCA442,2.6284,56.5,0.0608,8,0.0,0.830485667578957,0.7642508754387732,1.0,-0.022491349480929897,0.6159292035387328
UGCA444,3.6861,38.3,0.0514,36,0.0,0.942241506477844,0.451939869365103,1.0,0.0,0.13629242819807755
